Country,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
Argentina,395.6460665,378.2026658,336.9994337,366.7802111,399.8988992,435.2965897,470.3255658,512.6908507,533.4919137,501.917061,552.7381618,585.924294,579.9102472,593.8589663,578.9375749,594.7492854,582.3765504,598.7908508,583.1181203,571.4507372,514.6300467,568.1425628
Austria,311.192381,315.1357119,320.3403481,323.3562593,332.2004418,339.6552367,351.3870707,364.4847261,369.8077473,355.8860456,362.4240056,373.0169246,375.5551018,375.650886,378.1349633,381.9711485,389.5702245,398.3689502,408.0309324,414.2223472,387.4885675,405.1458438
Belgium,365.7112038,369.7326333,376.0435426,379.946809,393.5154859,402.6518808,412.9289658,428.1118731,430.0252281,421.3355231,433.4038058,440.7478935,444.0059781,446.0450409,453.0860097,462.3355748,468.1919167,475.7746607,484.3050396,495.157629,468.610314,497.3542426
Australia,873.3042568,891.1320413,926.7202002,955.5541559,995.8463703,1027.252902,1055.406162,1095.278529,1134.361024,1155.579099,1181.077718,1209.321835,1256.509668,1288.911965,1322.153225,1350.615692,1387.494901,1419.160083,1460.075109,1491.779125,1491.020028,1524.362403
Brazil,1186.420527,1202.910543,1239.640958,1253.783142,1326.000607,1368.460898,1422.679164,1509.033948,1585.907087,1583.911826,1703.152285,1770.842762,1804.863768,1859.096724,1868.465748,1802.214374,1743.175328,1766.235255,1797.739007,1819.685406,1749.105698,1829.904265
Canada,1163.709866,1184.539957,1220.289972,1242.273717,1280.622468,1321.656178,1356.472618,1384.543596,1398.494572,1357.541054,1399.482212,1443.522257,1468.960332,1503.174218,1546.31586,1556.508816,1572.095609,1619.885432,1664.870307,1696.163077,1607.402451,1680.392785
China,2770.108016,3001.016837,3275.118635,3603.876042,3968.35842,4420.536663,4982.871172,5691.976639,6241.291029,6827.892849,7554.098728,8275.578021,8926.347666,9619.581224,10333.90859,11061.55308,11819.13255,12640.23142,13493.41845,14296.34442,14616.53991,15801.91098
Colombia,157.0111388,159.6456261,163.6431214,170.0551038,179.12418,187.7736588,200.3861689,213.8885791,220.9114955,223.4291103,233.4714869,249.6928336,259.4624047,272.7831877,285.0557852,293.4817531,299.6078398,303.6805916,311.4679467,321.3939798,298.7416461,330.6383307
Ecuador,53.37922143,55.52273341,57.79737579,59.37112744,64.24610313,67.6455625,70.62435273,72.17107123,76.75908048,77.19391422,79.91523025,86.20307318,91.06661787,95.57123839,99.19230698,99.290381,98.07269967,100.3954403,101.6898306,101.7021402,93.78197716,97.75387951
"Egypt, Arab Rep.",179.6831723,186.0354252,190.4820514,196.5650095,204.6085905,213.7581638,228.3874266,244.5751333,262.0776234,274.3260827,288.4462904,293.5361327,300.0708335,306.6287797,315.5698047,329.3665768,343.6829676,358.053112,377.0804877,398.0374292,412.2460499,425.9604127
