Country,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Argentina,334238,232905,157714,168070,257329,325701,422827,537591,588248,510281,716813,817221,753064,776569,609618,533177,496091,489822,483103,331807,267710,450295,553250
Australia,259207,254295,353496,402565,407123,389233,340420,327511,280349,212543,241857,221696,221066,210537,174918,168912,155543,92362,0,0,0,0,0
Austria,113808,130817,109379,102160,226885,228327,246766,204841,126344,54981,85906,129616,123602,146553,134127,102481,73967,77519,143565,168362,107491,127409,105599
Belgium,1012051,1146568,1027409,877675,866539,895215,883953,790634,692980,519429,527584,562350,504616,465237,481642,368779,353957,332743,265205,247020,237075,222105,238030
Brazil,1519471,1580831,1552091,1585993,2000247,2210897,2284406,2652284,2862863,2932132,3159376,3158536,3177547,3461541,2996192,2356382,2100766,2641714,2779540,2804810,1905334,2072576,2177671
Canada,2907312,2494191,2579697,2518435,2661305,2621568,2497642,2542153,2047024,1479007,2060844,2123379,2453587,2377897,2386373,2255937,2370306,2169999,2003533,1899409,1362407,1102535,1226541
China,1850968,2043565,2970422,4003126,4480035,5239579,6713779,8117240,8631465,12833627,16823643,17275860,18234601,20920217,22625410,23678543,27072885,27726235,26605981,24420769,23349584,24585919,26096373
Colombia,47290,72068,76694,62167,78574,100047,125039,164047,110875,83694,109334,145416,139697,119130,127861,123894,119086,114990,118484,104939,55125,57001,66072
Ecuador,13076,27717,27565,30889,30949,43205,51673,59212,70896,55561,76252,75722,79616,67403,65143,50584,29064,43241,40484,23402,10887,15595,16562
"Egypt, Arab Rep.",54894,43874,36328,34993,39082,53383,71370,85225,102460,88135,108822,76392,93165,97858,134858,119208,94706,67165,77273,75209,82514,102016,87698
Finland,37897,41918,38093,19164,10051,21233,32393,23026,16145,10414,6665,2540,1254,7573,45842,79619,46888,91431,110815,114785,86270,93004,75960
France,3286146,3583394,3638265,3577626,3626231,3483726,3129529,2937620,2498343,2016590,2160325,2230069,1947143,1736195,1813431,1961723,2080300,2226109,2277191,2167962,1313829,1342741,1350963
Germany,4915822,5099204,4999261,4944425,5035744,5227943,5241769,5633634,5484572,4808330,5452084,5777144,5548663,5634839,5826583,5942264,5968984,5831314,5294342,4867933,3690441,3233999,3605981
Hungary,133263,138289,142118,111206,118503,147873,187794,288578,341353,212772,203665,209338,230745,312795,430683,526571,524478,479081,464035,524348,433601,416843,448207
Indonesia,266710,243402,264286,288477,375957,442233,268956,367140,513681,420152,649029,737186,984971,1048796,1235127,1052439,1128916,1140918,1235403,1198756,668879,1063222,1337914
India,792815,766698,819530,1021517,1281580,1437639,1693861,1984542,2095113,2464145,3246903,3599994,3802371,3654532,3593974,3806804,4173241,4457239,4719382,4198658,3251348,4147986,5089044
