"Argentina","Austria","Belgium","Brazil","Canada","China","Colombia","Ecuador","Egypt, Arab Rep.","Finland","France","Germany","Hungary","India","Indonesia","Iran, Islamic Rep.","Italy","Japan","Korea, Rep.","Malaysia","Mexico","Morocco","Pakistan","Philippines","Poland","Portugal","Romania","Russian Federation","Serbia","Slovak Republic","Slovenia","South Africa","Spain","Sweden","Thailand","Turkiye","Ukraine","United Kingdom","United States","Uzbekistan","Australia"
-0.330658438823976,-0.371406330927902,-0.352798534963406,-0.0760426244170911,-0.116081405604098,0.297745680062774,-0.414064253224179,-0.450571642865796,-0.416670837524297,-0.410547649060686,0.171842740283508,0.455309218921616,-0.440748148798536,-0.23663723748549,-0.319318593757587,-0.387818429291803,0.129058901095441,0.905878923372695,-0.227714578181154,-0.420977125463445,-0.199717079371862,-0.454013492767103,-0.423193053478786,-0.422884365253762,-0.383705027893263,-0.409627862790191,-0.433542654623319,-0.223694306450503,-0.460866697508662,-0.453363218833557,-0.459304129624422,-0.39718441371931,-0.17424628960446,-0.357605700067678,-0.392733722474896,-0.333032373354499,-0.445799662288178,0.258432403404637,3.74072508588599,-0.459575516298833,-0.202284946843756
-0.325320748532968,-0.367900539572291,-0.350513195697466,-0.0747102074458012,-0.102321235573368,0.357927675933547,-0.413749635394833,-0.449960072117501,-0.413736729785425,-0.407341825923742,0.194853093057329,0.47393166449679,-0.439634859976187,-0.222248878196831,-0.339005228908522,-0.386123957656587,0.139892636992892,0.888411006639136,-0.240106056014149,-0.424532795255416,-0.185796112423916,-0.452907406424449,-0.422017247821661,-0.423122944627679,-0.379733588198209,-0.406758980698867,-0.434268159152189,-0.236711183139394,-0.460585152232986,-0.452713865353537,-0.458976525822089,-0.3968237542564,-0.161284523355742,-0.352790163757304,-0.398578568335604,-0.329756441366448,-0.44624605438408,0.281411364155574,3.92939114341758,-0.459157622226966,-0.189966717064155
-0.330194883286058,-0.364294642543706,-0.346304920629767,-0.0728650541007427,-0.0833744057617281,0.421308170135925,-0.416084853097133,-0.450876380746565,-0.410373597733808,-0.40462850874582,0.217573941620109,0.491730941471901,-0.43872402033734,-0.20039584466666,-0.337974524157171,-0.38445808764222,0.149795076211458,0.883876603333699,-0.213825352056347,-0.42178564445283,-0.17798996273348,-0.452730213035121,-0.420286849760256,-0.421577759501288,-0.375564378758987,-0.404315983717999,-0.434400354448555,-0.221826132288663,-0.461405886526776,-0.452731426179148,-0.458426330227785,-0.395084636188638,-0.147453198073143,-0.34784208335031,-0.395345189978574,-0.334309679885615,-0.446292150241433,0.304038036649703,4.14027577714582,-0.458721758709991,-0.176122486172149
-0.331292557686228,-0.360750134359871,-0.341733893297632,-0.0554703854205788,-0.0633916391949225,0.496921089255355,-0.414528506362605,-0.450675297076295,-0.406620506997924,-0.400894950824174,0.244525737267117,0.519722161876616,-0.437354732176353,-0.190067520337638,-0.331513697047432,-0.379499194427344,0.173241429303108,0.921288918606095,-0.1906779207826,-0.417577020584876,-0.163592185837955,-0.452413369153134,-0.418198931438229,-0.419486701976973,-0.371289482842723,-0.401836362710434,-0.433541259422302,-0.19707910304886,-0.460922203189402,-0.452538219560591,-0.458027229636047,-0.391967757116532,-0.130569870565731,-0.342053045530284,-0.392050422776793,-0.324951020263448,-0.444935042103705,0.335688171721651,4.32820935414346,-0.458316313905183,-0.16468532583482
-0.337376680521362,-0.359374466157052,-0.340331018674981,-0.0497186692277594,-0.0561261298985958,0.577462555967539,-0.413609417692619,-0.449927639554047,-0.404404927782836,-0.399109791122849,0.25868702759025,0.536352957999941,-0.436053498977453,-0.176597552118457,-0.326493414987805,-0.377350933661329,0.185780798443912,0.926656954519224,-0.177158074127059,-0.417309141989601,-0.164828682739323,-0.451177713707267,-0.416383077314529,-0.417968025669906,-0.370056125143644,-0.400525222554654,-0.431675875662496,-0.183195806528376,-0.46034632730648,-0.451993023211157,-0.457664827713563,-0.389879838794505,-0.117246398453341,-0.340208589785734,-0.389390123237518,-0.333250722313669,-0.442791455296327,0.353054936381474,4.37400682752837,-0.457859221517037,-0.158466914901795
-0.351748646198071,-0.357559309633861,-0.338129740270318,-0.0369072358886293,-0.0436565208086447,0.673068705661402,-0.412215263076324,-0.449134243712496,-0.402853813052123,-0.397911662249451,0.266953593616316,0.534361308548092,-0.434477472376243,-0.165463499202084,-0.320068165504001,-0.36992323224677,0.187441087654211,0.927242938946388,-0.154590348875901,-0.414506880746841,-0.164950065227807,-0.450612223479228,-0.415055892347053,-0.416060437079334,-0.368035525270691,-0.399995046168172,-0.429530405298516,-0.16974920792623,-0.459775430602648,-0.451212846090375,-0.457257156268736,-0.386941196652328,-0.107633463445815,-0.337372843718565,-0.384476574055696,-0.324479093519428,-0.441376313811361,0.367613858994469,4.45614928740763,-0.45740486261614,-0.146053811453035
-0.341361025825824,-0.356507328066999,-0.336768372877925,-0.0319752002933311,-0.035989891219914,0.787740277253355,-0.409978755845981,-0.448585318737874,-0.400732061105433,-0.396481232406713,0.273012254032888,0.527336471427207,-0.433058868670654,-0.141581145792603,-0.312934851504041,-0.361338211588561,0.188351456317841,0.948680202573476,-0.14468581685581,-0.411335240034815,-0.160547857218736,-0.449498573495841,-0.411922270862742,-0.41335270070548,-0.364493109888382,-0.400639977838307,-0.428599457419884,-0.147882571186143,-0.459357779647697,-0.450218549345701,-0.456900834864934,-0.38451284928214,-0.0968485595839605,-0.334325724697311,-0.378379196810901,-0.31613300103539,-0.438719498143439,0.39375295004904,4.5938556277912,-0.456901640447723,-0.135996504921576
-0.329809110204842,-0.353422538618285,-0.332035851028066,-0.00678484593035864,-0.0226134014688756,0.914870993927631,-0.406815486340057,-0.446884925976623,-0.39792631186013,-0.393574679887928,0.294017005344688,0.539045695962862,-0.431245456148734,-0.115617501265926,-0.305068708169871,-0.356656614575825,0.197716743144839,0.97967808116995,-0.127814697357297,-0.407403912369001,-0.148443093194745,-0.448548984062961,-0.407592613306558,-0.409677741226551,-0.35927122128179,-0.399411852143042,-0.424355953526504,-0.124741418316973,-0.458460719633913,-0.449211579952171,-0.456360593642719,-0.380651281667179,-0.0852195591067866,-0.328472158830247,-0.372660965442491,-0.301129706898463,-0.435113129860945,0.413990340801459,4.78890472997583,-0.45597853476973,-0.121942645076756
-0.317462278804392,-0.350822232722744,-0.328848863104852,0.00802521286570633,-0.00829863903386598,1.07259149290089,-0.403798364140671,-0.4456991936854,-0.394735138333865,-0.391469670353442,0.306713334599911,0.546422821340553,-0.429611675757759,-0.0875948888383269,-0.295719814954823,-0.353063623156647,0.203171979121534,1.00581717222452,-0.11310265143268,-0.404103913163406,-0.141038761397222,-0.447866133442743,-0.403570597574636,-0.406731076678525,-0.355412792869118,-0.398865630944864,-0.422257919997104,-0.102690963842889,-0.457861602560814,-0.447881429760834,-0.4558693870501,-0.375973521457239,-0.0711908128802738,-0.324446655095782,-0.36861453369277,-0.286007820675086,-0.434063413402935,0.437558773982102,4.97205974349005,-0.455053110153588,-0.110988921891838
-0.305244154697766,-0.346730108139715,-0.325264242891777,0.0269371626519202,0.00384309781707659,1.26873233988137,-0.399399295333888,-0.444660190897171,-0.389632539414232,-0.388335351268623,0.325719460454776,0.585188481599495,-0.428045911416366,-0.0568272184096672,-0.28617175679459,-0.347252262120349,0.21521256389874,1.02606153898203,-0.0943511497634277,-0.400463136109395,-0.126283464241076,-0.446243052762912,-0.399693333948233,-0.40340491745386,-0.348430858179508,-0.397720868510368,-0.418481459644183,-0.072627869927843,-0.457277660555164,-0.446062823761483,-0.455097956479723,-0.370743959245054,-0.0548599849756162,-0.317692486972206,-0.363612738046619,-0.273273123391894,-0.431395789058321,0.457150884264132,5.12350881389164,-0.453991963116753,-0.101166706731753
