"Algeria","Argentina","Austria","Bahamas, The","Bangladesh","Belgium","Belize","Benin","Bermuda","Bolivia","Botswana","Brazil","Burkina Faso","Burundi","Cameroon","Central African Republic","Chad","Chile","China","Colombia","Congo, Dem. Rep.","Congo, Rep.","Costa Rica","Cote d'Ivoire","Denmark","Dominican Republic","Ecuador","Egypt, Arab Rep.","Fiji","Finland","France","Gabon","Ghana","Greece","Guatemala","Guyana","Haiti","Honduras","India","Indonesia","Iran, Islamic Rep.","Italy","Japan","Kenya","Korea, Rep.","Lesotho","Luxembourg","Madagascar","Malawi","Malaysia","Mexico","Nepal","Netherlands","Nicaragua","Niger","Nigeria","Norway","Pakistan","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Portugal","Puerto Rico","Rwanda","Senegal","Seychelles","Sierra Leone","Singapore","South Africa","Spain","St. Vincent and the Grenadines","Sudan","Suriname","Sweden","Thailand","Togo","Trinidad and Tobago","Turkiye","United Kingdom","United States","Uruguay","Zambia","Zimbabwe","GDP","Auto","Australia"
-0.240916618240234,-0.155313975083003,-0.199781154792314,-0.255631661452959,-0.242099139568827,-0.184605437561347,-0.257022319370737,-0.256003802242568,-0.255981366646444,-0.2539267608205,-0.256981238447826,-0.12988546430331,-0.256330781221337,-0.256579386486374,-0.25385952733842,-0.256456628431801,-0.255972853600815,-0.239038921448508,-0.14983954737864,-0.236456048713135,-0.244178056856308,-0.25627186050279,-0.253883732140768,-0.253410301238297,-0.201135661971034,-0.25405963626206,-0.249230995465727,-0.24341530941067,-0.256534889973774,-0.222951499323012,0.0946538352457557,-0.255973213386631,-0.251948553041269,-0.228821603699491,-0.251948379191565,-0.256068118063289,-0.252604004193689,-0.255438673007189,-0.165055742474045,-0.221488047053906,-0.223207874787256,0.0711966315195513,0.136869510817246,-0.25299895520405,-0.239768666396181,-0.25698783415289,-0.251709153844847,-0.254315826985804,-0.256676658616119,-0.250316773163624,-0.161699119641871,-0.254882529317461,-0.146405962558762,-0.255106273904824,-0.25536173692732,-0.212863714793392,-0.210857818679339,-0.245606652296542,-0.255046680161796,-0.255350575610243,-0.255200749467767,-0.238543007342847,-0.235957687819134,-0.233587946644751,-0.247077717926316,-0.256434407978458,-0.254522438944241,-0.25702752993933,-0.256340866400544,-0.253103747626761,-0.212795946784654,-0.129335253601737,-0.257010907950761,-0.246446900199832,-0.25641648946232,-0.173616750948459,-0.246378406368664,-0.256756762537073,-0.254662694382195,-0.210573204425182,0.270503200783962,2.076848309574,-0.246608280199952,-0.254589741962826,-0.254195775764811,1,0,-0.118721250350042
-0.243120953347266,-0.149788239386837,-0.196605825454664,-0.255473060825658,-0.241189243631388,-0.180995650295935,-0.257017614814049,-0.255968787015799,-0.255928149634139,-0.253860076313679,-0.256972532681414,-0.118943359946137,-0.25629892715758,-0.256653491323948,-0.253820951713728,-0.256423843144465,-0.255956840647966,-0.238090599326304,-0.179094554178598,-0.235404492634294,-0.245582271087191,-0.256201161431181,-0.253822942239675,-0.253041984109941,-0.197564611648041,-0.25413039497921,-0.248826807917095,-0.24270807301706,-0.256514361635384,-0.220353212855425,0.112172814025903,-0.255804093322783,-0.251771241321003,-0.225085328786864,-0.251726141361271,-0.256018860977488,-0.252736367801576,-0.255407501469343,-0.161628233600564,-0.219442629961361,-0.219684251247498,0.0981421035832132,0.184319951762967,-0.25331923339487,-0.238565284439808,-0.256985397832663,-0.251501977478248,-0.254258410871416,-0.256642905064007,-0.249799979712218,-0.156928151509336,-0.254839861387595,-0.14607853655844,-0.254955403683872,-0.255281868378335,-0.212778836145252,-0.207955732041571,-0.244917399155578,-0.254820302736563,-0.255241299322718,-0.25506842042729,-0.237178249303989,-0.234752480917155,-0.232285554209845,-0.246370673558941,-0.256463806250133,-0.254444727730235,-0.257031970484603,-0.25632679899071,-0.252777047409038,-0.211091863129348,-0.114207497281678,-0.257006037755538,-0.246444510690114,-0.256382793806214,-0.168872787022135,-0.245802507784961,-0.256712743712003,-0.254317973693278,-0.210035108717182,0.284628425948395,2.13052592047225,-0.24634625687619,-0.254555316147414,-0.254011173023635,1,0,-0.115285640214699
-0.245876372775023,-0.150703006872274,-0.195003041772806,-0.255301081836625,-0.240320617314288,-0.177028057298212,-0.257012679719144,-0.256008180288024,-0.255874941764109,-0.253678292520662,-0.25696280270568,-0.109824039508286,-0.256248698272085,-0.256611348458062,-0.253720655373883,-0.256449640654693,-0.255894575307256,-0.237324406298553,-0.183448307325156,-0.234229355483021,-0.243136513845316,-0.256153439566908,-0.253643586051884,-0.252991965701305,-0.194189799701381,-0.25362100853583,-0.248418928271027,-0.242149580785695,-0.256492576427398,-0.219256892544621,0.137444700409565,-0.255706181707511,-0.251551514708384,-0.224968468467265,-0.251535441156071,-0.256006710977687,-0.252390725195135,-0.255308866058981,-0.158829247626673,-0.218748649162285,-0.216723477616639,0.120181586483278,0.223647527480065,-0.252959924796795,-0.237842586820336,-0.256964993570432,-0.251425667281617,-0.254193456656408,-0.256639726473493,-0.249330056494783,-0.152255073624319,-0.254796332436041,-0.138479552930334,-0.254719827154274,-0.25509308809591,-0.21095958375028,-0.206572319220944,-0.244370441847183,-0.254630823880977,-0.255121645816299,-0.255000763085839,-0.23517718843213,-0.233668558691769,-0.230642993151983,-0.245476099847938,-0.256389606587357,-0.254448370328962,-0.257024696068918,-0.256290848912751,-0.25244911954837,-0.208248370424802,-0.0999830316594152,-0.257001883759931,-0.245706315662519,-0.256354101955257,-0.165114476622556,-0.244947670277324,-0.256697432546625,-0.254241170777225,-0.20741189218448,0.290603106572838,2.2761731066776,-0.246515870827391,-0.254619160501698,-0.253966599577064,1,0,-0.113449354192271
-0.242018785805564,-0.156351611706706,-0.192432538634764,-0.255109817609422,-0.240397197821672,-0.173542489381375,-0.257007435684239,-0.255955662692086,-0.255861635880991,-0.253444441293849,-0.256953584847096,-0.108940326859993,-0.256259727275977,-0.256590376407889,-0.253593489991978,-0.25645436943699,-0.255914151137014,-0.236168404520882,-0.175860125379535,-0.233477056822825,-0.242407495389777,-0.256192324037356,-0.253403855620519,-0.252394018762471,-0.19378893063079,-0.253393571222507,-0.248235683627415,-0.240575137860957,-0.256452776500654,-0.218013101598038,0.162040806532768,-0.255620138207957,-0.251306235552642,-0.221160341872622,-0.251002760748716,-0.256143221566838,-0.252480211829546,-0.25524407389554,-0.152937604936332,-0.219606993834453,-0.213878830998733,0.141346808207225,0.264385397866594,-0.25259487247157,-0.236103791507395,-0.256948700635137,-0.251229885194681,-0.254220641892068,-0.256646386342846,-0.24875847922745,-0.143754149508727,-0.254752325103624,-0.134179133091046,-0.254459201778183,-0.254902129286954,-0.206999787748578,-0.204659125171291,-0.243262786091454,-0.25441840798276,-0.255040324215535,-0.254901012341677,-0.234227514420629,-0.232023249866811,-0.229087901786396,-0.244468911869608,-0.256461185420967,-0.25439858666384,-0.257015190269614,-0.256276781502242,-0.251980307436552,-0.204644830466379,-0.0849032078053824,-0.257009189052766,-0.246031216814793,-0.256311296656345,-0.160212538089891,-0.243974025910618,-0.256676381346584,-0.254079909054853,-0.202905340845591,0.317300815044503,2.3876397188699,-0.246497797737152,-0.25453737287247,-0.253769785161856,1,0,-0.10451838809275
-0.241137052165249,-0.146143346653349,-0.18847108968062,-0.25489887633732,-0.238565750890888,-0.167728483783894,-0.257001883487188,-0.255878326361948,-0.255722000244253,-0.253299074314764,-0.256942318557378,-0.103902017085957,-0.256240123451634,-0.256557248125548,-0.253468452885827,-0.256440553734104,-0.255944391164767,-0.235632664829283,-0.161087474371166,-0.232019103986643,-0.242766476358645,-0.256156974464084,-0.253267935635636,-0.251561894851835,-0.187918178558426,-0.253141586012995,-0.247577712935299,-0.238671399683814,-0.256420308160201,-0.215964493260471,0.189923999657148,-0.255551896821561,-0.251177823987381,-0.217776797134281,-0.250719419832671,-0.256032429194317,-0.252556620719799,-0.255142543836128,-0.145173220545177,-0.218282951521182,-0.210214171857352,0.152494819636765,0.325280557980201,-0.252370299341826,-0.234112896537066,-0.256934691750034,-0.250766698227119,-0.254105814420084,-0.2566338233821,-0.248310469764032,-0.130257447243883,-0.254574095531316,-0.12400664861092,-0.254148106404816,-0.25489922497985,-0.20451866745563,-0.202031094469802,-0.242213943495844,-0.254298737169345,-0.254862220218187,-0.254807601921842,-0.23272864414014,-0.231169385979627,-0.227318962660338,-0.24357573535151,-0.256543117427913,-0.254292947900276,-0.257009076160264,-0.25622051179472,-0.252139753641837,-0.200478627869852,-0.0757616088974064,-0.257005178290777,-0.246155443983112,-0.256258829590003,-0.153602583514307,-0.243076128601578,-0.25661322275561,-0.253848050731033,-0.199945814661886,0.349087466176853,2.54103711225815,-0.246238597724078,-0.254222114928985,-0.253806827507297,1,0,-0.0938672540575133
-0.240145101064536,-0.134414069685092,-0.186081892535998,-0.254667469176823,-0.238267746116356,-0.16454603808179,-0.256996134535264,-0.255812674207704,-0.255655527698848,-0.253111409921076,-0.256932076476983,-0.100224719305014,-0.256207057233869,-0.256534982699939,-0.253394501329057,-0.256434129827033,-0.255937273498035,-0.23542849101379,-0.144810013971623,-0.231115523508734,-0.242623336800581,-0.256121624938743,-0.252952555549426,-0.251734685510345,-0.18476611258831,-0.253637975601968,-0.247265244868594,-0.237764902242605,-0.256439160725502,-0.213782155742013,0.211656984816705,-0.255421347995571,-0.251096496442316,-0.213540480342821,-0.25044030748975,-0.25591794813364,-0.252458002493564,-0.254963975185506,-0.148124105179012,-0.217862910510594,-0.202223688841165,0.165880804656139,0.359174212302255,-0.252274903875198,-0.23242924802384,-0.256930732707716,-0.250813379622702,-0.254119439326843,-0.256567829833389,-0.247633586026643,-0.121250194261812,-0.254604709312811,-0.112501506554223,-0.253865173473045,-0.254745657659794,-0.201949178686037,-0.199119390651249,-0.240660985074361,-0.254040447493717,-0.254630535499683,-0.25466506740382,-0.231357512450389,-0.229782383601935,-0.225093239957344,-0.242329146829248,-0.256502787059437,-0.254255306428039,-0.257010236490026,-0.256156036113825,-0.251749707071949,-0.197010683941027,-0.0644205173934489,-0.257004175623925,-0.245412470756334,-0.256155671265396,-0.149646467304223,-0.241927230750899,-0.256535111082797,-0.253825358832587,-0.198331527500755,0.362073788944287,2.72011550575418,-0.246124837209884,-0.253739943447494,-0.253644206361455,1,0,-0.084103883301502
-0.240960667100395,-0.135223520766301,-0.182073118123801,-0.254445115014434,-0.237783883157548,-0.161624182969633,-0.256990297513306,-0.255765980303097,-0.25544539422112,-0.252824079203774,-0.256920250856433,-0.0897126569317704,-0.256202157293648,-0.256508065905195,-0.253222641260472,-0.256429717233746,-0.255958619032245,-0.232991351004496,-0.132849175935096,-0.229753817240875,-0.241641220348226,-0.256108077822326,-0.25266221882448,-0.251111383992171,-0.182782653642026,-0.253169382983715,-0.247298699136127,-0.236788242460664,-0.256439160725502,-0.212753861411803,0.236276044515188,-0.255344841104353,-0.251352930085771,-0.210710305983834,-0.250072199550153,-0.255855120892783,-0.252484836921632,-0.254848195371708,-0.148184189537834,-0.216767151353946,-0.19590946612038,0.191196572874896,0.42473772456479,-0.251561514212021,-0.22946803197902,-0.256931494072407,-0.250743651232812,-0.25405752251322,-0.256494873689127,-0.246892179093783,-0.112967329111383,-0.254427723527912,-0.108537289082276,-0.253757777311522,-0.254754733647932,-0.204294157761467,-0.19692324735861,-0.239708103917761,-0.25380708930565,-0.254485892294759,-0.254616207564744,-0.22923508663936,-0.228568344121657,-0.223787279578865,-0.241220072616153,-0.256459633529607,-0.254172939702385,-0.256995194103926,-0.256139674528572,-0.251203160637277,-0.1943428677805,-0.0504579925714447,-0.257004175623925,-0.24583097793341,-0.255970811548143,-0.14739971734737,-0.240237580988961,-0.256480223324372,-0.253691762689944,-0.191739854994886,0.371814206125018,2.91363439852217,-0.245788117699167,-0.253928138527843,-0.25359128862124,1,0,-0.0799877671696115
-0.239433274879414,-0.131332889756283,-0.179816241589618,-0.254188522179157,-0.238146573927135,-0.157930682664963,-0.256983999637228,-0.255751394939761,-0.255223291114135,-0.252552792333485,-0.256908506516181,-0.0826821118444311,-0.256121307052654,-0.256423697090865,-0.253647757989086,-0.256397506356661,-0.255949720545454,-0.232118913972633,-0.140019467789583,-0.228622325511647,-0.241793785702865,-0.25608669491497,-0.252410434327107,-0.250835168494416,-0.178671938351378,-0.253037975034432,-0.246844919695444,-0.236624530332063,-0.256348458876158,-0.211791668699923,0.260556876530864,-0.255271853058335,-0.251175618365505,-0.208079201172117,-0.249782444029311,-0.255800624259837,-0.252582962990133,-0.254712487998367,-0.139658961636651,-0.216210140449789,-0.189021975487348,0.223379510733409,0.500302244598004,-0.251374731620433,-0.226957479880034,-0.256911089802817,-0.250729835009353,-0.253888295343264,-0.256449465317192,-0.246497735599123,-0.104527839564924,-0.254470008734589,-0.100691892072485,-0.253523552513246,-0.254751829340828,-0.21261062301902,-0.193157385903143,-0.238767836830271,-0.253523868142459,-0.25437873373312,-0.25438724023833,-0.228160860862906,-0.227077259598713,-0.221272612813198,-0.240230679072334,-0.256414067433462,-0.254208869220691,-0.256994571819741,-0.256139319402332,-0.25046323595922,-0.189825206202991,-0.041487870372916,-0.257015061977828,-0.245670234696524,-0.255831943388498,-0.143706892147856,-0.238783125514782,-0.25644511670963,-0.253621771335119,-0.188645941915844,0.389339260851563,2.992905245858,-0.246202450336511,-0.253675472984487,-0.253296168012049,1,0,-0.0688195025854119
-0.237523937695387,-0.125267069935873,-0.176359028089305,-0.253941767865992,-0.236346243407135,-0.153770684697977,-0.25697409199677,-0.255698866855389,-0.255183392352874,-0.252163364407007,-0.256886318257252,-0.0655870991018148,-0.256090686055635,-0.256425766742512,-0.253427494584831,-0.256387383038739,-0.255955064344361,-0.231220926146169,-0.144820815654108,-0.22693161490432,-0.241129812809462,-0.256007955854041,-0.252011507093879,-0.250046722655937,-0.174315484784199,-0.253028228315145,-0.246648752346249,-0.236953825584468,-0.25628750211675,-0.210747660742962,0.283806822974389,-0.255225524807558,-0.251153697498581,-0.20454654920943,-0.249139364343587,-0.255787118487535,-0.252438660122595,-0.254553736086076,-0.135679216746132,-0.21174492188665,-0.179212697580776,0.254825908867485,0.597875192694139,-0.250916225811765,-0.222986552188244,-0.256911851182158,-0.250462542157702,-0.253667712785748,-0.256462331043293,-0.245650412996843,-0.090148774862097,-0.254452118734218,-0.0906557788337306,-0.253475274042325,-0.254742753353365,-0.213166241440482,-0.191711944738146,-0.237440494102748,-0.253273057943343,-0.254259291922125,-0.254263594893861,-0.228116776442931,-0.225563734914583,-0.218091109358059,-0.239355817471867,-0.256364661318873,-0.254025832051745,-0.256985212569766,-0.256119541057905,-0.249562981172175,-0.187030415279201,-0.0272627296454984,-0.257008329619532,-0.245445480315898,-0.255734166431725,-0.139580649438636,-0.237293878285118,-0.256411288897773,-0.25343941290677,-0.184004593973127,0.42451493986354,3.14890854514573,-0.245996256127068,-0.253632492867095,-0.253220863261678,1,0,-0.059227608538848
-0.235871474829706,-0.112504206974845,-0.17129033858328,-0.253656446094882,-0.236092643885501,-0.146918367371638,-0.256966718887125,-0.25565801744953,-0.255116894416765,-0.251941667610035,-0.256851207150631,-0.0473916649560524,-0.256069862071213,-0.256435877210483,-0.253246581578223,-0.256335536824076,-0.255875005946356,-0.230201084715119,-0.125797702587942,-0.225089456096914,-0.239638255824302,-0.255924127485894,-0.251731042233138,-0.249372132033377,-0.168926120329404,-0.25258274051868,-0.246159895739249,-0.235889229002295,-0.256265926460121,-0.20629917438363,0.322264188146301,-0.255072518749675,-0.250795442087502,-0.198467305779716,-0.248761400785515,-0.255693997755322,-0.252260267955262,-0.254536925742899,-0.127737954804287,-0.208649402269997,-0.167124939775052,0.286044796564223,0.704562060386883,-0.250422574296728,-0.218016476685672,-0.256908653489949,-0.249798754702859,-0.253539301986055,-0.256423733865193,-0.245089792570062,-0.0844407607739989,-0.254333107686894,-0.0799526617015357,-0.253248021499207,-0.254873084555832,-0.202530948968474,-0.188765435528333,-0.236356650263146,-0.252948450708901,-0.254022738009038,-0.254129382314726,-0.227097523406531,-0.224083983416987,-0.217263439795289,-0.237690526073721,-0.256281685453938,-0.254228528768214,-0.256985212569766,-0.256034376853787,-0.248517766360108,-0.183725100438831,-0.00678949070573926,-0.257005178322304,-0.245283301405114,-0.255671872218118,-0.133693057379226,-0.235995235902725,-0.256334693712252,-0.253338949125319,-0.181020629186681,0.43762548197955,3.25449499143532,-0.245343966409728,-0.253647723705896,-0.252736457976722,1,0,-0.0452853368715029
