"year","Algeria","Argentina","Austria","Bahamas, The","Bangladesh","Belgium","Belize","Benin","Bermuda","Bolivia","Botswana","Brazil","Burkina Faso","Burundi","Cameroon","Central African Republic","Chad","Chile","China","Colombia","Congo, Dem. Rep.","Congo, Rep.","Costa Rica","Cote d'Ivoire","Denmark","Dominican Republic","Ecuador","Egypt, Arab Rep.","Fiji","Finland","France","Gabon","Ghana","Greece","Guatemala","Guyana","Haiti","Honduras","India","Indonesia","Iran, Islamic Rep.","Italy","Japan","Kenya","Korea, Rep.","Lesotho","Luxembourg","Madagascar","Malawi","Malaysia","Mexico","Nepal","Netherlands","Nicaragua","Niger","Nigeria","Norway","Pakistan","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Portugal","Puerto Rico","Rwanda","Senegal","Seychelles","Sierra Leone","Singapore","South Africa","Spain","St. Vincent and the Grenadines","Sudan","Suriname","Sweden","Thailand","Togo","Trinidad and Tobago","Turkiye","United Kingdom","United States","Uruguay","Zambia","Zimbabwe","Australia"
1960,23999022856,1.50798e+11,84930957866,2202354445,22247412282,1.0741e+11,142441397.6,1651120631,1684353374,4727739741,203292544.4,1.88464e+11,1166782782,798536053.2,4827329385,980371510.4,1696963329,26780362588,1.58907e+11,30606244697,19168014545,1254059139,4791476004,5492745871,82924593127,4530917897,11683345572,20297834751,864446544.7,50609868257,5.21063e+11,1696430396,7657961446,41914771900,7658218961,1555852775,6687073952,2488218720,1.36368e+11,52777607990,50230111915,4.86317e+11,5.83595e+11,6102052482,25699427356,193522651.5,8012571679,4151435202,654451640.6,10075036571,1.4134e+11,3312006963,1.63993e+11,2980585131,2602180344,65552406394,68523641465,17051906515,3068858406,2618713053,2840643135,27514935716,31344442132,34854622962,14872889486,1013285573,3845391089,134723239.1,1151844103,5946828630,65652787806,1.89279e+11,159344571.7,15807288700,1039827388,1.23687e+11,15908745237,535797649.7,3637637620,68945226535,7.8154e+11,3.45719e+12,15568244458,3745698444,4329261160,2.05001e+11
1961,20733849883,1.58983e+11,89634416746,2437281739,23595196298,1.12757e+11,149410025.6,1702986961,1763181112,4826516215,216187967.2,2.04672e+11,1213966637,688768208.9,4884469557,1028934741,1720682527,28185065418,1.15573e+11,32163862900,17088021199,1358782190,4881521089,6038315884,88214214003,4426106496,12282048671,21345429171,894854160.8,54458581968,5.47013e+11,1946939613,7920604560,47449131819,7987408908,1628814869,6491010262,2534391583,1.41445e+11,55807383539,55449481834,5.2623e+11,6.53881e+11,5627640180,27481937750,197131452.6,8319451822,4236482863,704449114.1,10840537245,1.48407e+11,3375208865,1.64478e+11,3204061755,2720485690,65678132953,72822359398,18072863229,3404180131,2780578633,3036655622,29536484549,33129655728,36783792699,15920199467,969739361.8,3960500881,128145678.2,1172681464,6430753564,68176962954,2.11687e+11,166558551.9,15810828163,1089739103,1.30714e+11,16761795431,601000566.2,4148255390,69742281192,8.02463e+11,3.5367e+12,15956366696,3796691708,4602704104,2.1009e+11
1962,16652382861,1.57628e+11,92008541235,2692025741,24881849659,1.18634e+11,156720138.5,1644635648,1841995308,5095783590,230600500.8,2.1818e+11,1288368210,751192359.5,5033033583,990722160.3,1812913108,29319989395,1.09124e+11,33904535656,20710800884,1429470236,5147192572,6112405688,93213156642,5180635534,12886220692,22172696193,927123515.9,56082507222,5.84447e+11,2091971264,8246074764,47622231252,8269883725,1646812065,7002993623,2680495356,1.45591e+11,56835343100,59835129918,5.58876e+11,7.12135e+11,6159866301,28552434122,227355280.8,8432486356,4332696341,709157403.6,11536611351,1.55329e+11,3439686156,1.75734e+11,3553009660,3000116620,68372901880,74871540640,18883044138,3684845823,2957815476,3136873108,32500557414,34735216309,39216837455,17245287424,1079647666,3955105279,138920911.7,1225932543,6916496945,72388888581,2.32757e+11,172711660.9,16904280082,1132238928,1.36281e+11,18028024108,623680241,4262019765,73627922580,8.11313e+11,3.75244e+12,15705125908,3702122212,4668728554,2.1281e+11
1963,22366436352,1.49261e+11,95816100869,2975336016,24768414727,1.23797e+11,164487869,1722427375,1861704657,5442175889,244254460.5,2.19489e+11,1272031490,782257224,5221397397,983717648.1,1783916396,31032317865,1.20364e+11,35018878591,21790659999,1371872586,5502293447,6998115024,93806944243,5517527219,13157651953,24504840915,986077186.2,57924873462,6.2088e+11,2219423260,8609394691,53263021527,9058916964,1444605656,6870441481,2776468795,1.54318e+11,55563919433,64048764780,5.90227e+11,7.72478e+11,6700600322,31128025938,251489203,8722488714,4292428191,699292467.3,12383260592,1.67921e+11,3504872049,1.82104e+11,3939061187,3282974494,74238352574,77705460711,20523760028,3999487026,3078273156,3284628970,33907262731,37172331197,41520317666,18737185346,973621466.9,4028847369,153001383.8,1246769905,7610925225,77726634753,2.55094e+11,161890690.6,16423020015,1195644308,1.43542e+11,19470235531,654862346.3,4500888808,80303255013,8.50859e+11,3.91755e+12,15731896686,3823270197,4960260049,2.26039e+11
1964,23672504945,1.64382e+11,1.01684e+11,3287792928,27481246819,1.32409e+11,172712064.9,1836981870,2068540045,5657500832,260942660.3,2.26952e+11,1301069669,831328516.2,5406608701,1004182168,1739123333,31825882671,1.42246e+11,37178472285,21258919179,1424234167,5703625023,8230699169,1.02503e+11,5890780493,14132271517,27324754468,1034170939,60959376045,6.62182e+11,2320505863,8799604415,58274899620,9478615901,1608716938,6757260757,2926860269,1.65819e+11,57525158068,69477043786,6.0674e+11,8.62679e+11,7033249433,34077040554,272239874.2,9408584745,4462516467,717901362,13046874934,1.87913e+11,3768874732,1.97172e+11,4399871434,3287276501,77913513804,81598233090,22077358882,4176749505,3342089831,3422993222,36127465419,38437117698,44140560027,20060203710,852259622.3,4185324864,162057912.7,1330119450,7374745418,83897825365,2.68635e+11,167831634.7,16239008432,1273361188,1.53333e+11,20800246570,748416054.9,4844329118,84687055315,8.97943e+11,4.14477e+12,16115836893,4290246254,4905391048,2.41816e+11
1965,25141833231,1.81756e+11,1.05223e+11,3630564952,27922666607,1.37123e+11,181227704.1,1934229171,2167002551,5935478851,276113749.3,2.32399e+11,1350049028,864309194,5516149498,1013697585,1749666382,32128315283,1.66357e+11,38516901522,21470944753,1476595677,6170782004,7974752881,1.07172e+11,5155503055,14595115067,28667504459,1006245563,64191965074,6.94374e+11,2513881406,8920070900,64549946934,9892051261,1778292092,6903339076,3191365212,1.61448e+11,58147344119,81312952538,6.26568e+11,9.12884e+11,7174554037,36570946133,278104208.5,9339437894,4442334564,815654353.8,14049509460,2.01255e+11,3723528046,2.14214e+11,4818966044,3514748205,81719570904,85911196479,24377679668,4559341274,3685272988,3634122580,38158455227,40491615974,47437413392,21906713861,911999009.8,4241081322,160339173.4,1425624099,7952502182,89034719820,2.85434e+11,169316835.7,17339538062,1426164531,1.59193e+11,22502052343,864119026.8,4877941509,87078219341,9.17179e+11,4.41003e+12,16284344737,5004463110,5146273738,2.56278e+11
1966,23933775450,1.80557e+11,1.11161e+11,3959927216,28639388965,1.41451e+11,189873797.1,2003394551,2478262917,6361087684,293630458.3,2.4797e+11,1357307068,904179715.7,5770717349,1020233742,1718048294,35738330686,1.84074e+11,40533929917,22925705459,1496662353,6600843488,8898018706,1.1011e+11,5849606210,14545560909,30114182468,1006245563,65715126795,7.30841e+11,2627207294,8540228380,68742144752,10437311413,1871354988,6863590560,3362864145,1.61359e+11,59770438163,90665899514,6.64067e+11,1.01e+12,8231262992,40957249543,276976436.5,9442723122,4534048889,923720695.3,15147719016,2.13524e+11,3985688368,2.20086e+11,4978046686,3501304391,78246068951,89164235321,25789135571,4905003259,3899525840,3706496252,41302299996,42289912833,49371868148,23549530842,975920207.1,4363087094,182620718.7,1449859709,8762074484,92986424439,3.06116e+11,169316835.7,16719624003,1699988121,1.62521e+11,25004847276,945421558.7,5075830892,96842139012,9.31607e+11,4.69668e+12,16783110756,4725699011,5224658179,2.62375e+11
1967,26196226283,1.8632e+11,1.14504e+11,4340005539,28102153000,1.46922e+11,199202530.6,2024999131,2807253305,6762931557,311026770.8,2.58384e+11,1477066546,1029151083,5141012887,1067946127,1731229184,37030628671,1.73453e+11,42209952860,22699717917,1528335800,6973799457,9307163112,1.16199e+11,6044254330,15217722034,30356681177,1140597743,67140375446,7.66807e+11,2735320890,8802871494,72639470659,10866511988,1952078165,6718241250,3563880790,1.73987e+11,60595510968,1.00868e+11,7.11738e+11,1.12193e+12,8507934841,44676006657,307200275.6,9463188413,4784716757,990981879.1,15731988728,2.26025e+11,3923053375,2.31707e+11,5324992338,3505606398,65927298768,94742420328,27181906875,5324524812,4058254537,4045654270,42893497705,44498582862,53096720115,25015070745,1043415020,4309866469,183542477.6,1450385740,9858088449,99678213921,3.19403e+11,153191416.1,16957725039,1905686683,1.67991e+11,27159260500,997423257.2,5179505637,1.01425e+11,9.57566e+11,4.8141e+12,16169380237,5099960030,5661805795,2.78918e+11
1968,29024433369,1.95305e+11,1.19625e+11,4705510544,30768893886,1.53084e+11,213878230.2,2102806394,2866353374,7339771955,343893145.4,2.83706e+11,1522423920,1026085410,5467278214,1082941299,1723313678,38360773789,1.66341e+11,44714319171,23683228246,1644968091,7564710710,10475049081,1.22652e+11,6058691665,15508295062,29868912346,1230889987,68686812988,8.01246e+11,2803944645,8835341794,77872213936,11819074238,1972083600,6931989977,3799032175,1.79882e+11,67209619197,1.15398e+11,7.58318e+11,1.26646e+12,9187096902,50557946175,306072481.9,9859116143,5111454830,971924513,16987085946,2.47324e+11,3949552951,2.46573e+11,5396504858,3519050211,65104288579,96883481100,29148034251,5696037601,4235177806,4228804026,42958797784,46740492396,57809324411,26310960124,1116597863,4580990408,197405873.4,1479682427,11191591504,1.03818e+11,3.40474e+11,163163726.7,17290642628,2050518871,1.74103e+11,29365209037,1047530728,5449624191,1.083e+11,1.00967e+12,5.04518e+12,16474805559,5163624360,5773351011,2.93126e+11
1969,31472145185,2.1421e+11,1.27133e+11,5128143624,31144538361,1.63234e+11,224799654.2,2163314606,2964853490,7668160496,395901497.5,3.10658e+11,1553269462,1011109272,5735255736,1159738542,1841900238,39871414647,1.94519e+11,47443018238,25892598110,1769138922,7980149488,11474286929,1.30635e+11,6718570786,16232414265,31445846804,1262848944,75276136628,8.58211e+11,3030584979,9366007881,86877097667,12378933032,2110018752,7196233504,3823932508,1.91645e+11,71794859870,1.33303e+11,8.04561e+11,1.42449e+12,9918318566,57919874111,310809065.8,10842351791,5301663420,1029096611,17817505359,2.55779e+11,4125838151,2.62427e+11,5733122852,3325997023,80857823252,1.01248e+11,30753478723,6176862302,4585573461,4427606506,44468567082,48932375373,59035310550,28777674213,1239505923,4280745750,197405873.4,1605831966,12739816701,1.08714e+11,3.708e+11,167831588,17530870257,2142792220,1.82824e+11,31288824006,1160987402,5598436240,1.1272e+11,1.02909e+12,5.20158e+12,17441010175,5141063669,6490876690,3.13778e+11
