year,Argentina,Austria,Belgium,Brazil,China,Colombia,Ecuador,"Egypt, Arab Rep.",Finland,France,India,Indonesia,"Iran, Islamic Rep.",Italy,Japan,"Korea, Rep.",Malaysia,Mexico,Pakistan,Philippines,Portugal,South Africa,Spain,Sweden,Thailand,Turkiye,United Kingdom,United States,Australia
1960,1.51E+11,84930957866,1.07E+11,1.88E+11,1.59E+11,30606244697,11683345572,20297834751,50609868257,5.21E+11,1.36E+11,52777607990,50230111915,4.86E+11,5.84E+11,25699427356,10075036571,1.41E+11,17051906515,31344442132,34854622962,65652787806,1.89E+11,1.24E+11,15908745237,68945226535,7.82E+11,3.46E+12,2.05E+11
1961,1.59E+11,89634416746,1.13E+11,2.05E+11,1.16E+11,32163862900,12282048671,21345429171,54458581968,5.47E+11,1.41E+11,55807383539,55449481834,5.26E+11,6.54E+11,27481937750,10840537245,1.48E+11,18072863229,33129655728,36783792699,68176962954,2.12E+11,1.31E+11,16761795431,69742281192,8.02E+11,3.54E+12,2.10E+11
1962,1.58E+11,92008541235,1.19E+11,2.18E+11,1.09E+11,33904535656,12886220692,22172696193,56082507222,5.84E+11,1.46E+11,56835343100,59835129918,5.59E+11,7.12E+11,28552434122,11536611351,1.55E+11,18883044138,34735216309,39216837455,72388888581,2.33E+11,1.36E+11,18028024108,73627922580,8.11E+11,3.75E+12,2.13E+11
1963,1.49E+11,95816100869,1.24E+11,2.19E+11,1.20E+11,35018878591,13157651953,24504840915,57924873462,6.21E+11,1.54E+11,55563919433,64048764780,5.90E+11,7.72E+11,31128025938,12383260592,1.68E+11,20523760028,37172331197,41520317666,77726634753,2.55E+11,1.44E+11,19470235531,80303255013,8.51E+11,3.92E+12,2.26E+11
1964,1.64E+11,1.02E+11,1.32E+11,2.27E+11,1.42E+11,37178472285,14132271517,27324754468,60959376045,6.62E+11,1.66E+11,57525158068,69477043786,6.07E+11,8.63E+11,34077040554,13046874934,1.88E+11,22077358882,38437117698,44140560027,83897825365,2.69E+11,1.53E+11,20800246570,84687055315,8.98E+11,4.14E+12,2.42E+11
1965,1.82E+11,1.05E+11,1.37E+11,2.32E+11,1.66E+11,38516901522,14595115067,28667504459,64191965074,6.94E+11,1.61E+11,58147344119,81312952538,6.27E+11,9.13E+11,36570946133,14049509460,2.01E+11,24377679668,40491615974,47437413392,89034719820,2.85E+11,1.59E+11,22502052343,87078219341,9.17E+11,4.41E+12,2.56E+11
1966,1.81E+11,1.11E+11,1.41E+11,2.48E+11,1.84E+11,40533929917,14545560909,30114182468,65715126795,7.31E+11,1.61E+11,59770438163,90665899514,6.64E+11,1.01E+12,40957249543,15147719016,2.14E+11,25789135571,42289912833,49371868148,92986424439,3.06E+11,1.63E+11,25004847276,96842139012,9.32E+11,4.70E+12,2.62E+11
1967,1.86E+11,1.15E+11,1.47E+11,2.58E+11,1.73E+11,42209952860,15217722034,30356681177,67140375446,7.67E+11,1.74E+11,60595510968,1.01E+11,7.12E+11,1.12E+12,44676006657,15731988728,2.26E+11,27181906875,44498582862,53096720115,99678213921,3.19E+11,1.68E+11,27159260500,1.01E+11,9.58E+11,4.81E+12,2.79E+11
1968,1.95E+11,1.20E+11,1.53E+11,2.84E+11,1.66E+11,44714319171,15508295062,29868912346,68686812988,8.01E+11,1.80E+11,67209619197,1.15E+11,7.58E+11,1.27E+12,50557946175,16987085946,2.47E+11,29148034251,46740492396,57809324411,1.04E+11,3.40E+11,1.74E+11,29365209037,1.08E+11,1.01E+12,5.05E+12,2.93E+11
1969,2.14E+11,1.27E+11,1.63E+11,3.11E+11,1.95E+11,47443018238,16232414265,31445846804,75276136628,8.58E+11,1.92E+11,71794859870,1.33E+11,8.05E+11,1.42E+12,57919874111,17817505359,2.56E+11,30753478723,48932375373,59035310550,1.09E+11,3.71E+11,1.83E+11,31288824006,1.13E+11,1.03E+12,5.20E+12,3.14E+11
