"","year","Argentina","Austria","Belgium","Brazil","China","Colombia","Ecuador","Egypt, Arab Rep.","Finland","France","India","Indonesia","Iran, Islamic Rep.","Italy","Japan","Korea, Rep.","Malaysia","Mexico","Pakistan","Philippines","Portugal","South Africa","Spain","Sweden","Thailand","Turkiye","United Kingdom","United States","Australia"
"1","1960",-0.370694476121887,-0.397985435042172,-0.388671602272844,-0.355088169456405,-0.367334641237631,-0.420494013952324,-0.428334415554425,-0.424765139286864,-0.412205831408432,-0.217281075774231,-0.376673316592946,-0.411307663006049,-0.412363177395036,-0.231677526987496,-0.19137193839819,-0.422527075497886,-0.429000792750901,-0.374613247651705,-0.426110037908038,-0.420188153612753,-0.41873376614171,-0.405973037492809,-0.354750487198337,-0.381927486794852,-0.426583688560419,-0.404608867990284,-0.109356583093701,0.99925634181199,-0.348236327123078
"2","1961",-0.367303151849148,-0.396036631833183,-0.386456158059486,-0.348372643028482,-0.385289393349403,-0.419848639679936,-0.428086352469293,-0.424331085238662,-0.410611178234707,-0.20652910694374,-0.374569742575513,-0.410052323805038,-0.410200614671186,-0.215140211691489,-0.162250054728831,-0.421788520731169,-0.428683619749492,-0.371685148856905,-0.425687020768685,-0.419448478817379,-0.417934445414121,-0.404927185758165,-0.345466089604748,-0.37901596136241,-0.426230240811027,-0.404278621099022,-0.100687471577695,1.03220004284137,-0.346127781096937
"3","1962",-0.367864574499064,-0.395052951197136,-0.38402111679487,-0.342775818559801,-0.387961433695755,-0.419127419671589,-0.427836023423511,-0.423988320335578,-0.40993833069274,-0.191018925779941,-0.372851913566988,-0.409626405147664,-0.408383491299292,-0.201613862002079,-0.1381134384571,-0.421344977624236,-0.428395212539803,-0.368817128500656,-0.425351335224153,-0.418783240384917,-0.416926352104691,-0.403182041517015,-0.336736070982072,-0.376709363656077,-0.42570559914369,-0.402668667530997,-0.0970206151557357,1.12158847272538,-0.345000792456515
"4","1963",-0.371331307570537,-0.393475349559178,-0.381881910048364,-0.342233455276598,-0.383304318872837,-0.418665709440237,-0.427723560207407,-0.423022033346786,-0.409174975610396,-0.175923493009179,-0.369236020234283,-0.410153199276293,-0.406637638863866,-0.188624074919045,-0.113111278336164,-0.420277822212841,-0.428044416923248,-0.363599834029999,-0.424671530749819,-0.417773460681175,-0.415971941799091,-0.400970431479773,-0.327481091106671,-0.373700884053835,-0.425108041830894,-0.399902849949002,-0.0806353604593739,1.18999916920331,-0.339519567190289
"5","1964",-0.365066162264724,-0.391044079094555,-0.378313665132442,-0.339141280194442,-0.374237860994271,-0.417770916219258,-0.427319742127495,-0.421853647118403,-0.407917677838201,-0.158810667705251,-0.364470764221972,-0.409340591312028,-0.404388517990042,-0.181782176603134,-0.0757379318822486,-0.419055945017007,-0.427769458899331,-0.355316467522902,-0.424027821830616,-0.417249416556475,-0.414886286146151,-0.398413497024774,-0.321870593614043,-0.369644139282377,-0.424556972958619,-0.398086492176123,-0.0611268556264325,1.28414415408439,-0.332982618741786
"6","1965",-0.357867522324032,-0.38957775085983,-0.376360494378417,-0.336884402575186,-0.364247852498241,-0.417216359400836,-0.427127970280752,-0.421297300064439,-0.406578306104806,-0.145472425678617,-0.366281818393767,-0.409082798440077,-0.399484497875128,-0.17356676088171,-0.0549362904512355,-0.418022634995751,-0.427354033266502,-0.349788422508011,-0.423074720582401,-0.416398167946615,-0.413520287509573,-0.39628510669469,-0.314910195757264,-0.367216141696763,-0.423851856865099,-0.397095751479547,-0.053156725667923,1.39405040656902,-0.32699051958084
"7","1966",-0.358364308860747,-0.387117435217616,-0.374567256571159,-0.330432806942833,-0.35690709597532,-0.416380635838861,-0.427148502256175,-0.420697892092935,-0.405947208326464,-0.13036290554985,-0.366318694125016,-0.408410295296723,-0.395609253391151,-0.158029648004077,-0.0146978239794842,-0.416205240099975,-0.426899007643555,-0.344704957938405,-0.422489906329041,-0.415653072309778,-0.41271877701861,-0.394647780880016,-0.306340938749472,-0.365837237948483,-0.422814863681718,-0.393050227010722,-0.0471787138649819,1.51281926457519,-0.324464324823248
"8","1967",-0.355976501678855,-0.385732316458451,-0.372300434934488,-0.326117932052631,-0.36130773801573,-0.415686202449947,-0.426870003008966,-0.420597416618538,-0.405356679267841,-0.115460966784631,-0.361086483628236,-0.408068439532475,-0.391382175686681,-0.138277929078515,0.0316785872419737,-0.414664432370576,-0.426656924802244,-0.339525367867115,-0.421912833741426,-0.414737945091718,-0.411175443984029,-0.391875144582109,-0.300835682107825,-0.363570830645871,-0.421922216905901,-0.39115139161583,-0.0364230160279603,1.56147036978044,-0.317609996485568
"9","1968",-0.352253710158933,-0.383610511742422,-0.369747308463062,-0.315626165011179,-0.364254481843185,-0.414648558191141,-0.426749608706846,-0.42079951585813,-0.404715937524108,-0.101191716127472,-0.358643984350558,-0.40532798922343,-0.385361901809724,-0.118978248611299,0.0915622887861292,-0.412227344495418,-0.426136895277497,-0.330700466744933,-0.42109820020526,-0.413809045614633,-0.409222851517708,-0.390159890212695,-0.29210524915109,-0.361038420877394,-0.421008217294669,-0.388302844960353,-0.0148345542189471,1.65721468412918,-0.311723138175602
"10","1969",-0.344420724773946,-0.380499691627612,-0.365541817764431,-0.304459033453592,-0.35257937672929,-0.41351796523098,-0.426449581458282,-0.420146138203404,-0.401985756314424,-0.0775891764577643,-0.353770172814794,-0.403428167843993,-0.377943250483715,-0.0998181987219582,0.157039500126494,-0.409177047011788,-0.425792824231455,-0.32719727227627,-0.420433009880711,-0.412900873843967,-0.408714883704485,-0.388131310659936,-0.27954015447851,-0.357425013549043,-0.420211198096651,-0.386471488419668,-0.00678818679358562,1.72201653095341,-0.303166311189579
