Argentina,Austria,Brazil,Canada,Colombia,Ecuador,"Egypt, Arab Rep.",Finland,France,Germany,Hungary,Indonesia,India,"Iran, Islamic Rep.",Italy,China,Japan,"Korea, Rep.",Malaysia,Morocco,Pakistan,Portugal,Poland,Philippines,Romania,Russian Federation,South Africa,Slovenia,Spain,Slovak Republic,Serbia,Turkiye,United Kingdom,Uzbekistan,United States,Ukraine,Thailand,Sweden,Belgium,Mexico,EN.CO2.MANF.ZS,EN.ATM.CO2E.PC,SL.TLF.CACT.ZS,SL.TLF.ACTI.ZS,NV.MNF.TECH.ZS.UN,SL.AGR.EMPL.ZS,SL.IND.EMPL.ZS,SL.SRV.EMPL.ZS,SL.EMP.TOTL.SP.ZS,SL.UEM.TOTL.ZS,TX.VAL.MRCH.XD.WD,NE.CON.GOVT.ZS,NY.GDP.MKTP.CD,TM.VAL.MRCH.XD.WD,NV.AGR.TOTL.ZS,NV.AGR.TOTL.KD,NE.EXP.GNFS.ZS,NY.GDP.MKTP.KD,NY.GDP.PCAP.KD,NV.IND.TOTL.KD,NV.IND.TOTL.ZS,NV.SRV.TOTL.ZS,NV.SRV.TOTL.KD,NE.TRD.GNFS.ZS,NE.GDI.FTOT.ZS,NE.GDI.FTOT.CD,BX.KLT.DINV.WD.GD.ZS,BX.KLT.DINV.CD.WD,NV.IND.MANF.ZS,NV.IND.MANF.CD,auto,Australia
0.278450781,0.116838131,0.235393402,0.140414421,0.289169453,0.380494822,0.451053523,0.154473711,0.127084968,0.103923373,0.203999951,0.504653106,0.595114562,0.388816614,0.142488488,0.334661974,0.11729795,0.140314366,0.347368272,0.40567145,0.782133732,0.146797877,0.164969862,0.402007918,0.216608306,0.202434786,0.157721256,0.144112627,0.170578884,0.152334257,0.295589091,0.27461686,0.1,1,0.11158074,0.449685902,0.347855921,0.125881855,0.101728581,3.34646442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157418491
0.126636948,0.103310455,0.168523482,0.127651359,0.11611535,0.108064207,0.135538427,0.10424219,0.131432231,0.120397935,0.104182846,0.212050289,0.440802397,0.139808227,0.134804206,1,0.138897452,0.12522206,0.121785595,0.109129058,0.159839824,0.103051075,0.110439583,0.130539808,0.106746511,0.149697778,0.106069074,0.1,0.131377758,0.10115789,0.101851739,0.153528447,0.114772271,0.124303425,0.289221849,0.110136931,0.132250849,0.105937106,0.101933481,38720855491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12718241
0.300331569,0.484732934,0.178437309,0.970487447,0.153035188,0.193987679,0.187757918,0.546103386,0.330372517,0.591311882,0.31867082,0.159406961,0.147293845,0.484737165,0.37776761,0.474372742,0.598282463,0.767633704,0.496422947,0.151968001,0.1,0.331421737,0.520984427,0.118799512,0.266386743,0.699697965,0.499436647,0.451417225,0.366784045,0.395812896,0.443882891,0.325516877,0.396037034,0.246706991,0.954316112,0.316999054,0.270653122,0.282782107,0.546028043,3.894939366,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1,0.185482777,0.3027684,0.129372046,0.421674539,0.643078995,0.615327459,0.175759617,0.155300469,0.123902767,0.199459821,0.741931102,1,0.461579993,0.175962188,0.658474002,0.168264684,0.197434164,0.327683988,0.825793342,0.953612407,0.237339628,0.311681288,0.642268713,0.565293714,0.233490876,0.210195814,0.199054689,0.182849419,0.155908171,0.474341662,0.492370008,0.120256583,0.652802145,0.126333557,0.413369343,0.72856176,0.135651585,0.122687373,13.10000038,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150438889
0.359968526,0.486185177,0.266247975,0.20879118,0.196546272,0.159811547,0.483359457,0.326059611,0.235164781,0.571899446,0.716012536,0.305337452,0.447566668,0.783830365,0.512558867,0.638775428,0.445682885,0.469230765,0.577080008,0.330298237,0.393406562,0.436263697,0.763579264,0.1,0.689638845,0.554945033,0.381161654,0.844583849,0.20596546,1,0.432967008,0.543642062,0.152276232,0.368445777,0.213971742,0.424489757,0.397645188,0.139560445,0.283673446,25.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19419152
0.938249432,0.813299708,0.793199232,0.970120697,0.713521137,0.529718295,0.429939586,0.88374249,0.936800844,0.835392285,0.712434524,0.385392319,0.1,0.452032163,0.81148887,0.331790727,0.844084498,0.809134795,0.651227331,0.300824949,0.162112681,0.78613673,0.593822938,0.553440653,0.395533189,0.744124664,0.831589485,0.663179038,0.923400343,0.642173005,0.575533162,0.516861169,1,0.440985874,0.97084506,0.633299804,0.361851086,0.991307786,0.947303757,61.15000153,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.956901321
0.601119023,0.698233175,0.619876303,0.803621941,0.861278013,0.905123669,0.208127237,0.577797473,0.482656045,0.726648964,0.560512378,0.872791525,0.374057699,0.1,0.291342794,0.97455835,0.716166072,0.797232098,0.832979946,0.247408735,0.468551213,0.534776201,0.557656073,0.768786767,0.492697258,0.749734959,0.18760302,0.537485243,0.38910486,0.601413437,0.334894034,0.368580643,0.768374519,0.677974054,0.737014134,0.506978784,1,0.758922247,0.44558305,57.37599945,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805270932
0.214648151,0.22114968,0.356494509,0.118391108,0.243484224,0.362472143,0.535500644,0.1,0.133492979,0.242191353,0.387562645,0.2159602,0.70822538,0.255934833,0.180628909,0.973716383,0.110576094,0.297334052,0.182078441,0.318485264,0.221774678,0.224403037,0.729918792,0.130319052,0.69110793,0.273679983,0.256568857,0.404441915,0.254175982,0.741260258,1,0.602180816,0.122437913,0.335142621,0.17281054,0.250855193,0.327525651,0.141911826,0.20492214,224.7717488,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314188365
0.140261621,0.563861919,0.139619878,0.341820277,0.163524401,0.214379127,0.117088204,0.376956777,0.328489218,0.496591024,0.924994372,0.209962502,0.210697985,0.231978996,0.318720678,0.215224524,0.177766777,0.433489488,0.716490502,0.333662777,0.1,0.434319843,0.541151161,0.290520305,0.457754527,0.281825933,0.306273721,0.831450442,0.366887119,1,0.52254954,0.252392483,0.311525088,0.138200629,0.134020562,0.530850955,0.719629013,0.460669506,0.8509042,37.04217108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211909145
0.215562816,0.1,0.267559681,0.239765293,0.278719294,0.218195308,0.242695652,0.238152984,0.226419121,0.234298756,1,0.214137577,0.235359978,0.217781194,0.227009744,0.22977302,0.218983767,0.218814158,0.272447532,0.235252357,0.219025755,0.259152088,0.26405482,0.245036676,0.25639054,0.2443047,0.217024428,0.254289416,0.259511236,0.28417574,0.291716076,0.230287471,0.3831021,0.235259302,0.244143685,0.271722532,0.219347962,0.251403017,0.38390211,3.604155469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.259129712
0.157575959,0.1,0.284592737,0.21290285,0.176525845,0.153112806,0.166242231,0.160908819,0.210402718,0.267450514,0.276343481,0.159867498,0.231242862,0.157775932,0.197623156,0.464216321,0.224976659,0.173390164,0.175832334,0.155596888,0.156352604,0.164897598,0.18450625,0.166551123,0.162925726,0.209929288,0.155707648,0.15433254,0.230875886,0.160227193,0.155957817,0.17648483,0.73254523,0.154719865,1,0.159127736,0.157980105,0.179716443,0.254630826,38870479804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.228580261
0.126382965,0.116987261,0.182950203,0.174613265,0.112603277,0.102782206,0.114751115,0.109753488,0.218169962,0.265271243,0.104237155,0.142064946,0.20897716,0.119649307,0.188662419,0.673964742,0.316243108,0.171536967,0.113341875,0.103411675,0.111916224,0.107915957,0.121939949,0.114004181,0.106919143,0.164575902,0.115010896,0.100170731,0.158064013,0.102419469,0.1,0.141521934,0.244119118,0.10245263,1,0.102547336,0.118230464,0.123127025,0.120818598,1.20269E+12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165617432
0.124935372,0.117134291,0.184671993,0.171756293,0.111681905,0.102858333,0.114075709,0.109652986,0.217347242,0.265443098,0.104241647,0.142996047,0.208751438,0.120131197,0.188597839,0.639996766,0.339443891,0.170411044,0.112571099,0.103419674,0.113168113,0.107995969,0.120713427,0.113409194,0.106976084,0.159636537,0.113648433,0.100196558,0.157550768,0.102376598,0.1,0.139995902,0.228284373,0.102192568,1,0.102540793,0.117979985,0.122914991,0.121004842,1.07849E+12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156247172
0.293162919,0.794904685,0.21390359,0.777981755,0.179586598,0.174361793,0.133853386,0.783477183,0.672265597,0.748181237,0.287943735,0.133994465,0.105848994,0.164183304,0.571513313,0.215344073,0.644718893,0.55185075,0.238923063,0.128588721,0.1,0.395032565,0.286356742,0.128819027,0.227714987,0.228155969,0.177897964,0.424598282,0.504496876,0.346626908,0.171795348,0.255605715,0.812722606,0.124579817,0.998979609,0.11362708,0.172965876,0.913240554,0.742333012,9897.150062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.534390971,0.641108862,0.680032316,0.715777869,0.367979606,0.371422399,0.201509066,0.855987703,0.859260896,0.654477323,0.657679204,0.1,0.141731907,0.434228393,0.607726305,0.465394085,0.641437427,0.40532844,0.262336842,0.57218933,0.157789265,0.53082568,0.550229995,0.192480159,0.404784002,0.577758676,0.622746032,0.608207056,0.611693585,0.599905466,0.445825893,0.37823853,0.613439784,0.346528614,0.352139619,0.58503475,0.492196307,1,0.834120123,12.01041305,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652768136
0.101357789,0.392030463,0.142599289,0.381360373,0.360188301,0.457917819,0.107807232,0.38045145,0.349832992,0.299860838,0.273392406,0.704362765,0.559773204,0.359893502,0.196842938,1,0.446858072,0.610206471,0.471797394,0.576084496,0.1,0.141576076,0.239639349,0.45463026,0.392614008,0.352006439,0.205753813,0.20369879,0.222532816,0.324013706,0.193177345,0.590072543,0.216378536,0.345328409,0.302315862,0.140360472,0.412366489,0.428734902,0.398008245,22.80225729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.466334801
0.11402516,0.116313579,0.152490584,0.165851375,0.110745382,0.103502626,0.107947325,0.109234305,0.202835025,0.234665314,0.103500973,0.157282242,0.223570908,0.118221247,0.160898543,1,0.33790216,0.184749108,0.113503931,0.10483933,0.107278219,0.104835293,0.115423419,0.114039263,0.106929494,0.152607793,0.1095578,0.100161822,0.14141877,0.102312658,0.1,0.147543675,0.191265108,0.102265373,0.834131384,0.10144583,0.117588124,0.122766844,0.120058403,2.4592E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.157725514
0.202128708,0.19607356,0.239261828,0.114129718,0.477637917,0.559549687,0.467151705,0.127955159,0.112801826,0.186852165,0.317234184,0.349165084,0.993811718,0.347196035,0.116897963,1,0.1,0.253385755,0.175345073,0.427875195,0.547207155,0.117112404,0.507128521,0.234295419,0.771380867,0.540013862,0.345226712,0.332300615,0.165139611,0.801374327,0.691374431,0.447827581,0.138367127,0.528776253,0.130599568,0.299819432,0.353196921,0.155831011,0.189305364,221.5048093,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288497675
0.287748837,0.426842123,0.137412865,0.338189066,0.516748996,0.692870027,0.710464209,0.346400692,0.1,0.511845724,0.427479572,0.988939115,0.473259207,0.788146904,0.253768438,1,0.554981096,0.785314072,0.922894258,0.435307106,0.12909659,0.17696236,0.641870268,0.622277205,0.615611524,0.577086707,0.357989635,0.527985389,0.203970344,0.583903174,0.440794214,0.532752332,0.102014849,0.322989081,0.124711831,0.333436863,0.837695699,0.273897172,0.175347355,29.63995531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.298957676
0.12244109,0.116678858,0.160721243,0.168563335,0.114090978,0.103891383,0.120896902,0.10871258,0.179176793,0.276376419,0.104212767,0.165421437,0.214708234,0.127017584,0.172094293,1,0.339318318,0.195236515,0.120788185,0.103450526,0.108302075,0.105421314,0.126574824,0.117051765,0.108557245,0.175802808,0.113409758,0.100381652,0.145059825,0.103088831,0.1,0.145398215,0.197440301,0.101891639,0.739096259,0.101851493,0.126092213,0.119003012,0.115000383,3.525E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.158848742
