loss,mae,mse,val_loss,val_mae,val_mse,epoch
1.574351887051994e+19,909421504.0,1.574351887051994e+19,3.853267911477035e+18,750610624.0,3.853267911477035e+18,0
6.399073835894702e+17,151718160.0,6.399073835894702e+17,1.2342445800528282e+17,134338576.0,1.234244665952174e+17,1
3.367553702104662e+18,397712000.0,3.367553702104662e+18,6.608479776774554e+16,98299480.0,6.608479776774554e+16,2
5.54777747348521e+16,59169788.0,5.54777747348521e+16,2.975981765656576e+16,65965252.0,2.975981765656576e+16,3
3.9125375668086374e+17,142221616.0,3.9125375668086374e+17,96359017349120.0,3753627.0,96359017349120.0,4
8.587596068206674e+17,242253456.0,8.587596068206674e+17,3.89024136078295e+16,75420424.0,3.89024136078295e+16,5
9.282924129235763e+16,64073000.0,9.282924129235763e+16,3451950578270208.0,22466412.0,3451950578270208.0,6
1.0022768667294433e+18,227558064.0,1.0022768667294433e+18,481597535027200.0,8391478.0,481597535027200.0,7
6.018251111666811e+17,156977456.0,6.018251111666811e+17,385957471715328.0,7512272.5,385957471715328.0,8
6.784126931110461e+17,164984416.0,6.784126931110461e+17,2.8935091593936896e+17,205689776.0,2.893509502991073e+17,9
3.6712043852385485e+17,171457024.0,3.6712043852385485e+17,6.87926217470378e+17,317154624.0,6.87926217470378e+17,10
3.6508720100592845e+17,175323696.0,3.6508720100592845e+17,878776549376.0,358460.65625,878776549376.0,11
168113176576.0,116361.7109375,168113176576.0,1425857576960.0,456581.59375,1425857576960.0,12
5.515752994735391e+17,142209984.0,5.515752994735391e+17,1.3939463461797888e+16,45146408.0,1.3939463461797888e+16,13
647897628540928.0,2818966.75,647897628540928.0,6309953887272960.0,30374806.0,6309953887272960.0,14
4.119088041631416e+17,171924992.0,4.119088041631416e+17,62269899669504.0,3017457.75,62269899669504.0,15
2.1599119089650893e+17,82507712.0,2.1599119089650893e+17,3863496492056576.0,23767840.0,3863496492056576.0,16
4486913410990080.0,17261854.0,4486913410990080.0,3165683449856.0,680379.1875,3165683449856.0,17
1.1304384846836531e+17,65670436.0,1.1304384846836531e+17,1.881955670111027e+16,52457220.0,1.881955670111027e+16,18
9.704179675588198e+16,85861296.0,9.704179675588198e+16,2.105027724480348e+17,175440192.0,2.105027724480348e+17,19
1.8275618420424704e+17,125427280.0,1.8275618420424704e+17,7234596458463232.0,32524240.0,7234596458463232.0,20
2.510149612732416e+16,45860960.0,2.510149612732416e+16,1.240671328596394e+18,425920480.0,1.240671328596394e+18,21
2.040371630403748e+17,114686128.0,2.040371630403748e+17,2.2139937935589376e+16,56896844.0,2.2139937935589376e+16,22
1.7494890002776064e+16,35730892.0,1.7494890002776064e+16,8.337995246390477e+16,110415744.0,8.337995246390477e+16,23
1.2850043074432205e+17,91575912.0,1.2850043074432205e+17,2450984796160.0,598629.1875,2450984796160.0,24
2.5472191748164813e+17,72707248.0,2.5472191748164813e+17,4.6930564759525786e+17,261955824.0,4.6930564759525786e+17,25
2.5920003077308416e+16,22253028.0,2.5920003077308416e+16,150288036003840.0,4687770.5,150288036003840.0,26
