loss,mae,mse,val_loss,val_mae,val_mse,epoch
8.55350337372527e+18,609230272.0,8.55350337372527e+18,4.4420786532615455e+18,805922432.0,4.4420786532615455e+18,0
4.027636505588531e+17,193607584.0,4.027636505588531e+17,1.593436989984604e+17,152639664.0,1.593436989984604e+17,1
5.65451582892671e+17,169409920.0,5.65451582892671e+17,7.477384302506803e+16,104562248.0,7.477384302506803e+16,2
1.3804772213653504e+17,62792176.0,1.3804772213653504e+17,4441707538022400.0,25484462.0,4441707538022400.0,3
2.2168330074597622e+18,344795008.0,2.2168330074597622e+18,2.402299590905692e+17,187419120.0,2.402299590905692e+17,4
1.8286976461438976e+16,29561702.0,1.8286976461438976e+16,4.653766802323538e+17,260857040.0,4.653766458726154e+17,5
8.508915016123023e+17,268145584.0,8.508915016123023e+17,4.54159548505129e+16,81489968.0,4.54159548505129e+16,6
1.803071251325911e+17,129715688.0,1.803071251325911e+17,1.3115492840966717e+18,437917632.0,1.3115492840966717e+18,7
3.890328462719713e+17,189647936.0,3.890328462719713e+17,1.6291188910850048e+17,154339296.0,1.6291188910850048e+17,8
1.2639419596223283e+17,107404064.0,1.2639419596223283e+17,8.421491128611635e+16,110967200.0,8.421491128611635e+16,9
1.2967671748949443e+18,281170720.0,1.2967671748949443e+18,5738616399593472.0,28967000.0,5738616399593472.0,10
898539437686784.0,4375811.5,898539437686784.0,93673614213120.0,3700890.75,93673614213120.0,11
8.922335511335404e+17,204287216.0,8.922335511335404e+17,6.688479040220692e+17,312725824.0,6.688479040220692e+17,12
1.438057013224407e+17,73025136.0,1.438057013224407e+17,469329477632.0,261942.515625,469329510400.0,13
9.78421467316224e+16,38933832.0,9.78421467316224e+16,1.2387103496082555e+18,425583712.0,1.2387103496082555e+18,14
2.1885368352007782e+17,123459592.0,2.1885368352007782e+17,56852578566144.0,2883220.0,56852578566144.0,15
7.752943391263949e+16,48305632.0,7.752943391263949e+16,8.81193114360873e+16,113510416.0,8.81193114360873e+16,16
8.550176938734387e+16,85070048.0,8.550176938734387e+16,4948934585745408.0,26900244.0,4948934585745408.0,17
1.811873872698409e+17,119420656.0,1.811873872698409e+17,4.355373090440479e+17,252355520.0,4.355373090440479e+17,18
8.398406538389094e+16,67789336.0,8.398406538389094e+16,2.2731507403587584e+16,57651996.0,2.2731507403587584e+16,19
1135331252371456.0,3738505.75,1135331252371456.0,1147242676224.0,409560.09375,1147242676224.0,20
8.574994118764134e+16,53576444.0,8.574994118764134e+16,2.655453725065216e+17,197046848.0,2.655453725065216e+17,21
5.582229983146803e+16,39337704.0,5.582229983146803e+16,70058106880.0,101209.78125,70058106880.0,22
1.630833442029568e+16,20994472.0,1.630833442029568e+16,2.5104293439524045e+17,191590576.0,2.5104293439524045e+17,23
5.730030545220403e+16,56330376.0,5.730030545220403e+16,4070022947274752.0,24394866.0,4070022947274752.0,24
1.3848892265201664e+16,36870972.0,1.3848892265201664e+16,175952478863360.0,5072210.5,175952478863360.0,25
5.745008384671744e+16,55976684.0,5.745008384671744e+16,1.0678997235846349e+17,124958384.0,1.0678997235846349e+17,26
4.170001786549043e+16,40812744.0,4.170001786549043e+16,33035200.0,2191.79541015625,33035200.0,27
1037157.5625,116.85358428955078,1037157.5625,427373.34375,234.8612823486328,427373.34375,28
2.259378498227405e+16,34159260.0,2.259378498227405e+16,31568307421184.0,2148440.75,31568307421184.0,29
5659782274875392.0,20121572.0,5659782274875392.0,45765095325696.0,2586827.0,45765095325696.0,30
4137434742784.0,352087.875,4137434742784.0,538133725184.0,280509.90625,538133725184.0,31
1.5591710537023488e+16,33399930.0,1.5591710537023488e+16,6901036950224896.0,31765620.0,6901036950224896.0,32
2955645363945472.0,15960562.0,2955645363945472.0,4.941809986620621e+16,85004736.0,4.941809986620621e+16,33
1.4554011004829696e+16,33662108.0,1.4554011004829696e+16,683102468833280.0,9994092.0,683102468833280.0,34
1160984689377280.0,7641008.5,1160984689377280.0,678325583872.0,314930.1875,678325583872.0,35
2.6774982889570304e+16,39923552.0,2.6774982889570304e+16,1.6364804650303488e+16,48916540.0,1.6364804650303488e+16,36
2332557278445568.0,11187092.0,2332557278445568.0,293746369363968.0,6553696.5,293746369363968.0,37
3562361302548480.0,14034800.0,3562361302548480.0,157532555313152.0,4799380.0,157532555313152.0,38
